date,1. open,2. high,3. low,4. close,5. volume
2025-08-15,181.8800,181.9000,178.0417,180.4500,156602161
2025-08-14,179.7500,183.0200,179.4600,182.0200,129553959
2025-08-13,182.6150,183.9700,179.3500,181.5900,179871724
2025-08-12,182.9600,184.4800,179.4600,183.1600,145729202
2025-08-11,182.0500,183.8400,180.2500,182.0600,138323191
2025-08-08,181.5500,183.3000,180.4000,182.7000,123396679
2025-08-07,181.5700,183.8800,178.7950,180.7700,151878365
2025-08-06,176.3250,179.9000,176.2500,179.4200,137192265
2025-08-05,179.6200,180.2600,175.9000,178.2600,156407621
2025-08-04,175.1600,180.2000,174.5200,180.0000,148174609
2025-08-01,174.0900,176.5400,170.8900,173.7200,204528985
2025-07-31,182.9000,183.3000,175.9300,177.8700,221685446
2025-07-30,176.5100,179.8900,176.0400,179.2700,174312208
2025-07-29,177.9600,179.3800,175.0200,175.5100,154077512
2025-07-28,174.0200,177.0000,173.9700,176.7500,140023521
2025-07-25,173.6100,174.7200,172.9600,173.5000,122316792
2025-07-24,172.4400,173.8300,171.3000,173.7400,128984628
2025-07-23,169.5300,171.2600,167.9700,170.7800,154082197
2025-07-22,171.3400,171.3900,164.5800,167.0300,193114327
2025-07-21,172.7500,173.3800,171.0000,171.3800,123126136
2025-07-18,173.6400,174.2500,171.2600,172.4100,146456416
2025-07-17,172.0200,174.1600,170.8300,173.0000,160841119
2025-07-16,171.0600,171.7500,168.9000,171.3700,158831509
2025-07-15,171.1900,172.4000,169.1950,170.7000,230627350
2025-07-14,165.3700,165.4900,162.0200,164.0700,136975754
2025-07-11,163.7150,167.8900,163.4700,164.9200,193633263
2025-07-10,164.3200,164.5000,161.6100,164.1000,167704075
2025-07-09,161.2200,164.4200,161.1600,162.8800,183656443
2025-07-08,159.3300,160.2200,158.3900,160.0000,138133025
2025-07-07,158.2000,159.3100,157.3420,158.2400,140138975
2025-07-03,158.3700,160.9800,157.7700,159.3400,143716055
2025-07-02,152.9800,157.6000,152.9700,157.2500,171224111
2025-07-01,156.2900,157.2000,151.4900,153.3000,213143621
2025-06-30,158.4000,158.6600,155.9600,157.9900,194580316
2025-06-27,156.0400,158.7100,155.2550,157.7500,263234539
2025-06-26,155.9750,156.7150,154.0000,155.0200,198145746
2025-06-25,149.2700,154.4500,149.2600,154.3100,269146471
2025-06-24,145.5600,147.9600,145.5000,147.9000,187566121
2025-06-23,142.5000,144.7800,142.0300,144.1700,154308941
2025-06-20,145.4500,146.2000,142.6500,143.8500,242956157
2025-06-18,144.0050,145.6500,143.1200,145.4800,161494121
2025-06-17,144.4900,145.2200,143.7800,144.1200,139108000
2025-06-16,143.3450,146.1750,143.2001,144.6900,183133666
2025-06-13,142.4800,143.5800,140.8550,141.9700,180820565
2025-06-12,141.9700,145.0000,141.8500,145.0000,162364991
2025-06-11,144.6100,144.9900,141.8700,142.8300,167694044
2025-06-10,142.6900,144.2900,141.5250,143.9600,155881897
2025-06-09,143.1900,145.0000,141.9400,142.6300,185114494
2025-06-06,142.5100,143.2700,141.5100,141.7200,153986153
2025-06-05,142.1700,144.0000,138.8300,139.9900,232410759
2025-06-04,142.1900,142.3900,139.5450,141.9200,167120819
2025-06-03,138.7800,142.0000,137.9500,141.2200,225578783
2025-06-02,135.4900,138.1200,135.4000,137.3800,197663116
2025-05-30,138.7150,139.6200,132.9200,135.1300,333170851
2025-05-29,142.2450,143.4900,137.9100,139.1900,370615167
2025-05-28,136.0250,137.2500,134.7900,134.8100,304021146
2025-05-27,134.1500,135.6600,133.3100,135.5000,192953613
2025-05-23,130.0000,132.6800,129.1600,131.2900,198821324
2025-05-22,132.2300,134.2500,131.5500,132.8300,187343954
2025-05-21,133.0600,137.4000,130.5900,131.8000,270608738
2025-05-20,134.2900,134.5800,132.6200,134.3800,161514247
2025-05-19,132.3900,135.8700,132.3900,135.5700,193154571
2025-05-16,136.2200,136.3500,133.4600,135.4000,226542451
2025-05-15,134.2950,136.3000,132.6600,134.8300,226632563
2025-05-14,133.1950,135.4350,131.6800,135.3400,281180830
2025-05-13,124.9800,131.2189,124.4700,129.9300,330430105
2025-05-12,121.9700,123.0000,120.2800,123.0000,225023345
2025-05-09,117.3500,118.2300,115.2100,116.6500,132972189
2025-05-08,118.2500,118.6800,115.8500,117.3700,198428122
2025-05-07,113.0450,117.6800,112.2818,117.0600,207827821
2025-05-06,111.4800,114.7400,110.8220,113.5400,158525621
2025-05-05,112.9050,114.6650,112.6600,113.8200,133163241
2025-05-02,114.1800,115.4000,113.3700,114.5000,190194778
2025-05-01,113.0800,114.9400,111.3000,111.6100,236121507
2025-04-30,104.4700,108.9200,104.0800,108.9200,235044611
2025-04-29,107.6700,110.1999,107.4400,109.0200,170444263
2025-04-28,109.6900,110.3699,106.0200,108.7300,207708479
2025-04-25,106.8500,111.9200,105.7300,111.0100,251064672
2025-04-24,103.4750,106.5400,103.1100,106.4300,220815041
2025-04-23,104.5200,104.8000,102.0200,102.7100,247525971
2025-04-22,98.7800,99.8110,97.2800,98.8900,241004784
2025-04-21,98.7700,99.4400,95.0400,96.9100,288501136
2025-04-17,104.4500,104.4700,100.0500,101.4900,292517465
2025-04-16,104.5500,106.7900,100.4500,104.4900,397016870
2025-04-15,110.9700,113.6150,110.5000,112.2000,228966900
2025-04-14,114.1100,114.2900,109.0700,110.7100,264705049
2025-04-11,108.5000,111.5499,107.4800,110.9300,313417265
2025-04-10,109.3700,110.8600,99.1500,107.5700,437812353
2025-04-09,98.8900,115.1000,97.5301,114.3300,612918336
2025-04-08,103.8050,105.8500,94.4600,96.3000,476243392
2025-04-07,87.4600,101.7500,86.6200,97.6400,611041347
2025-04-04,98.9100,100.1300,92.1100,94.3100,532273810
2025-04-03,103.5100,105.6300,101.6000,101.8000,338769412
2025-04-02,107.2900,111.9800,106.7900,110.4200,220601243
2025-04-01,108.5150,110.2000,106.4700,110.1500,222614034
2025-03-31,105.1300,110.9550,103.6500,108.3800,299212653
2025-03-28,111.4850,112.8700,109.0701,109.6700,229872549
2025-03-27,111.3500,114.4500,110.6600,111.4300,236902055
2025-03-26,118.7300,118.8400,112.7100,113.7600,296431667
2025-03-25,120.5450,121.2900,118.9200,120.6900,167447198
